RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
25889,45270,UNIQUE,CINCINNATI,OH,39.09,-84.51
25890,45270,UNIQUE,HUNTINGTON NAT'L BANK,OH,39.09,-84.51
25891,45271,UNIQUE,CINCINNATI,OH,39.09,-84.51
25892,45271,UNIQUE,KEY BANK,OH,39.09,-84.51
25893,45273,UNIQUE,CINCINNATI,OH,39.09,-84.51
25894,45273,UNIQUE,BUSINESS REPLY,OH,39.09,-84.51
25895,45274,UNIQUE,CINCINNATI,OH,39.09,-84.51
25896,45274,UNIQUE,COMMERCIAL ACCOUNTS,OH,39.09,-84.51
25897,45274,UNIQUE,COMMERCIAL ACCTS,OH,39.09,-84.51
25898,45275,PO BOX,CINCINNATI,OH,39.09,-84.51
25899,45275,PO BOX,CINCY AMF,OH,39.09,-84.51
25900,45275,PO BOX,AMF,OH,39.09,-84.51
25901,45275,PO BOX,CIN ARPRT,OH,39.09,-84.51
25902,45275,PO BOX,CINCINNATI AIRPORT RETAIL,OH,39.09,-84.51
25903,45277,UNIQUE,CINCINNATI,OH,39.09,-84.51
25904,45277,UNIQUE,FIDELITY INVESTMENTS,OH,39.09,-84.51
25905,45280,PO BOX,CINCINNATI,OH,39.15,-84.45
25906,45296,UNIQUE,CINCINNATI,OH,39.09,-84.51
25907,45296,UNIQUE,THE CENTRAL TRUST CO,OH,39.09,-84.51
25908,45298,UNIQUE,CINCINNATI,OH,39.09,-84.51
25909,45298,UNIQUE,INTERNAL REVENUE SERVICE,OH,39.09,-84.51
25910,45299,UNIQUE,CINCINNATI,OH,39.09,-84.51
25911,45299,UNIQUE,PG CONTEST MAIL,OH,39.09,-84.51
25912,45999,UNIQUE,CINCINNATI,OH,39.09,-84.51
25913,45999,UNIQUE,IRS SERVICE CENTER,OH,39.09,-84.51
25914,43113,STANDARD,CIRCLEVILLE,OH,39.6,-82.93
25915,43113,STANDARD,THATCHER,OH,39.6,-82.93
25916,43115,STANDARD,CLARKSBURG,OH,39.5,-83.15
25917,45113,STANDARD,CLARKSVILLE,OH,39.4,-83.98
25918,45315,STANDARD,CLAYTON,OH,39.86,-84.35
25919,45315,STANDARD,ENGLEWOOD,OH,39.86,-84.35
25920,45002,STANDARD,CLEVES,OH,39.16,-84.74
25921,45033,PO BOX,HOOVEN,OH,39.19,-84.75
25922,45316,PO BOX,CLIFTON,OH,39.79,-83.82
25923,45621,PO BOX,COALTON,OH,39.11,-82.61
25924,45003,STANDARD,COLLEGE CORNER,OH,39.56,-84.81
25925,45003,STANDARD,COLLEGE COR,OH,39.56,-84.81
25926,45004,PO BOX,COLLINSVILLE,OH,39.52,-84.64
25927,43085,STANDARD,COLUMBUS,OH,39.98,-82.98
25928,43085,STANDARD,WORTHINGTON,OH,39.98,-82.98
25929,43085,STANDARD,LINWORTH,OH,39.98,-82.98
25930,43085,STANDARD,MOUNT AIR,OH,39.98,-82.98
25931,43085,STANDARD,RIVERLEA,OH,39.98,-82.98
25932,43201,STANDARD,COLUMBUS,OH,39.98,-82.98
25933,43202,STANDARD,COLUMBUS,OH,39.98,-82.98
25934,43203,STANDARD,COLUMBUS,OH,39.98,-82.98
25935,43204,STANDARD,COLUMBUS,OH,39.98,-82.98
25936,43204,STANDARD,SAN MARGHERITA,OH,39.98,-82.98
25937,43204,STANDARD,VALLEYVIEW,OH,39.98,-82.98
25938,43205,STANDARD,COLUMBUS,OH,39.98,-82.98
25939,43206,STANDARD,COLUMBUS,OH,39.98,-82.98
25940,43207,STANDARD,COLUMBUS,OH,39.98,-82.98
